tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r3_c0,3,3,0.0,0.0,20,2009,"4,6","42,7",10286.0,7240.0,46490,,"64,9"
tile_r3_c1,0,0,0.0,0.0,20,2009,"4,6","42,7",10286.0,7240.0,46490,,"64,9"
tile_r3_c10,60,51,6432.377,259.65,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c11,65,54,6936.271,426.82,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c12,58,46,12827.964,366.011,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c13,33,28,7107.815,445.633,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c14,57,44,4909.17,270.255,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c15,56,51,1891.346,77.935,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c16,34,27,1399.463,171.774,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c17,15,14,318.572,22.717,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c18,63,58,1791.875,44.261,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
tile_r3_c19,97,83,6013.891,221.383,21,2009,"3,9","42,2",12995.0,10837.0,65279,,"66,1"
