tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r33_c12,27,20,10456.497,147.64,01,2009,"2,8","42,5",3285.0,1926.0,18932,,74
tile_r33_c13,28,25,7172.627,466.446,01,2009,"2,8","42,5",3285.0,1926.0,18932,,74
tile_r33_c14,15,15,0.0,0.0,01,2009,"2,8","42,5",3285.0,1926.0,18932,,74
tile_r33_c15,3,3,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c16,36,30,5897.946,147.782,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c17,63,52,9935.082,491.376,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c18,72,62,7537.02,406.206,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c19,68,61,5919.742,173.734,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c2,17,13,14640.921,197.044,17,2009,"5,3","40,7",7940.0,6386.0,48425,,"72,4"
tile_r33_c20,25,18,8435.252,191.006,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c21,14,9,16008.059,171.465,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c22,18,13,4025.018,533.322,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c23,36,29,11533.318,816.284,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c24,66,58,16543.147,617.736,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c25,26,25,83.677,1.061,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c26,1,1,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r33_c3,8,4,618.054,351.396,17,2009,"5,3","40,7",7940.0,6386.0,48425,,"72,4"
