Model,R² (log),R² (real),MAE (m²),RMSE (m²),Median Error (m²),P90 Error (m²),Mean Bias (m²),Top 1 Feature,Top 2 Feature,Top 3 Feature
CatBoost,0.8465754525523624,0.9316325997055966,60.27715534984002,114.35396150265237,29.230814476624573,136.54457889698426,4.951934525855676,panel_area_lag1,total_rooftops,year
HistGBR,0.8826508191998845,0.9430389189541786,58.201502634420294,104.37963954797682,29.85220427239878,136.4601858018976,-4.396136245179466,panel_area_lag1,total_rooftops,year
LightGBM,0.8454522227441115,0.9280204513033007,66.18704234554801,117.33598972284757,33.84430352803838,160.2757331127478,-11.104830732448072,panel_area_lag1,total_rooftops,year
XGBoost,0.8548495459185405,0.9263872592890957,66.37818545355496,118.65968059758352,34.56442694091794,158.64141044921865,-8.290330599424822,,,
Ridge,0.40123835231843197,-160.82146364512587,775.0209068710598,5563.457102653135,69.68864949861613,343.50136843705076,-662.814830419882,,,
ElasticNet,0.4041890647218729,-127.18740185124787,716.9021266933876,4951.643321142543,70.61906893344191,337.2539463688894,-583.3477598624003,,,
