Model,R² (log),RMSE (log),R² (real),MAE (m²),RMSE (m²)
HistGBR,0.8826508191998845,0.7740096440350267,0.9430389189541786,58.201502634420294,104.37963954797682
CatBoost,0.8465754525523624,0.8850213881216664,0.9316325997055966,60.27715534984002,114.35396150265237
Stacking (5-model),0.866045750403641,0.8269601628179605,0.938195001467621,61.429345337718416,108.72726947063656
LightGBM,0.8454522227441115,0.8882551261933999,0.9280204513033007,66.18704234554801,117.33598972284757
XGBoost,0.8548495459185405,0.8608263260660546,0.9263872592890957,66.37818545355496,118.65968059758352
RandomForest,0.8166277563809154,0.967549382807493,0.842562465244917,84.7050807984291,173.5324992481372
LSTM (ours),0.8696124042383949,0.8158766040501264,0.6582578334888811,149.47368309380806,255.66775941072228
