iter	Passed	Remaining
437	1376	1766
438	1380	1764
439	1383	1760
440	1386	1757
441	1389	1754
442	1393	1751
443	1397	1749
444	1400	1746
445	1402	1742
446	1405	1739
447	1409	1736
448	1413	1734
449	1415	1730
450	1418	1727
451	1422	1724
452	1425	1721
453	1428	1718
454	1431	1715
455	1435	1711
456	1437	1708
457	1440	1704
458	1443	1701
459	1446	1698
460	1449	1694
461	1452	1691
462	1455	1688
463	1459	1685
464	1462	1682
465	1465	1679
466	1468	1675
467	1472	1674
468	1475	1671
469	1479	1667
470	1481	1664
471	1484	1661
472	1487	1657
473	1490	1653
474	1493	1650
475	1496	1647
476	1500	1645
477	1504	1642
478	1507	1639
479	1510	1636
480	1513	1633
481	1516	1630
482	1519	1626
483	1522	1623
484	1526	1620
485	1529	1618
486	1533	1615
487	1537	1612
488	1540	1609
489	1543	1606
490	1546	1603
491	1549	1599
492	1553	1597
493	1556	1594
494	1559	1591
495	1562	1587
496	1565	1584
497	1569	1581
498	1572	1578
499	1575	1575
500	1578	1572
501	1581	1568
502	1585	1566
503	1588	1563
504	1591	1560
505	1594	1556
506	1597	1553
507	1600	1550
508	1603	1546
509	1606	1543
510	1609	1540
511	1613	1538
512	1616	1534
513	1619	1531
514	1623	1528
515	1626	1525
516	1629	1522
517	1632	1518
518	1635	1515
519	1639	1512
520	1641	1509
521	1644	1506
522	1647	1502
523	1650	1499
524	1653	1496
525	1656	1492
526	1659	1489
527	1662	1485
528	1665	1482
529	1667	1479
530	1671	1476
531	1674	1472
532	1676	1469
533	1679	1465
534	1682	1462
535	1685	1459
536	1688	1456
537	1691	1452
538	1694	1449
539	1697	1446
540	1700	1442
541	1704	1440
542	1707	1436
543	1709	1433
544	1712	1429
545	1716	1427
546	1719	1424
547	1722	1420
548	1725	1417
549	1728	1414
550	1731	1410
551	1734	1407
552	1736	1403
553	1739	1400
554	1742	1397
555	1745	1394
556	1748	1390
557	1752	1388
558	1755	1384
559	1758	1381
560	1761	1378
561	1764	1374
562	1768	1372
563	1770	1369
564	1773	1365
565	1776	1362
566	1779	1359
567	1783	1356
568	1786	1353
569	1789	1349
570	1792	1346
571	1795	1343
572	1798	1340
573	1801	1337
574	1804	1333
575	1807	1330
576	1810	1327
577	1813	1323
578	1816	1320
579	1819	1317
580	1822	1314
581	1825	1310
582	1828	1307
583	1830	1304
584	1833	1300
585	1836	1297
586	1839	1294
587	1842	1290
588	1845	1287
589	1848	1284
590	1851	1281
591	1855	1278
592	1858	1275
593	1861	1272
594	1864	1269
595	1867	1266
596	1870	1262
597	1873	1259
598	1878	1257
599	1881	1254
600	1884	1251
601	1888	1248
602	1891	1245
603	1895	1242
604	1898	1239
605	1900	1235
606	1903	1232
607	1906	1229
608	1909	1225
609	1912	1222
610	1915	1219
611	1918	1216
612	1921	1213
613	1924	1209
614	1927	1206
615	1930	1203
616	1933	1200
617	1936	1197
618	1939	1193
619	1942	1190
620	1945	1187
621	1948	1184
622	1951	1180
623	1954	1177
624	1957	1174
625	1960	1171
626	1963	1168
627	1966	1165
628	1969	1161
629	1972	1158
630	1975	1155
631	1978	1152
632	1981	1148
633	1984	1145
634	1988	1143
635	1991	1139
636	1994	1136
637	1997	1133
638	2000	1130
639	2004	1127
640	2008	1125
641	2011	1121
642	2014	1118
643	2017	1115
644	2020	1112
645	2023	1108
646	2026	1105
647	2029	1102
648	2032	1099
649	2036	1096
650	2039	1093
651	2041	1089
652	2044	1086
653	2047	1083
654	2050	1080
655	2053	1076
656	2056	1073
657	2059	1070
658	2062	1067
659	2066	1064
660	2068	1060
661	2071	1057
662	2074	1054
663	2077	1051
664	2080	1048
665	2083	1044
666	2086	1041
667	2089	1038
668	2092	1035
669	2095	1032
670	2098	1028
671	2102	1026
672	2105	1023
673	2108	1019
674	2111	1016
675	2114	1013
676	2116	1010
677	2119	1006
678	2123	1003
679	2126	1000
680	2128	997
681	2131	994
682	2134	990
683	2138	988
684	2141	984
685	2144	981
686	2147	978
687	2150	975
688	2153	972
689	2156	968
690	2159	965
691	2162	962
692	2165	959
693	2168	956
694	2171	953
695	2175	950
696	2178	947
697	2181	943
698	2185	941
699	2188	937
700	2191	934
701	2195	931
702	2198	928
703	2201	925
704	2204	922
705	2207	919
706	2210	916
707	2213	912
708	2216	909
709	2219	906
710	2222	903
711	2225	900
712	2227	896
713	2232	894
714	2234	890
715	2238	887
716	2241	884
717	2244	881
718	2246	878
719	2249	874
720	2252	871
721	2255	868
722	2258	865
723	2261	862
724	2264	858
725	2267	855
726	2271	852
727	2274	849
728	2278	846
729	2281	843
730	2285	840
731	2287	837
732	2290	834
733	2293	831
734	2296	827
735	2299	824
736	2302	821
737	2305	818
738	2308	815
739	2311	812
740	2314	809
741	2317	805
742	2320	802
743	2323	799
744	2326	796
745	2328	792
746	2332	789
747	2335	786
748	2338	783
749	2341	780
750	2344	777
751	2349	774
752	2352	771
753	2356	768
754	2359	765
755	2362	762
756	2365	759
757	2368	756
758	2371	753
759	2374	749
760	2377	746
761	2380	743
762	2384	740
763	2387	737
764	2390	734
765	2393	731
766	2396	727
767	2399	724
768	2402	721
769	2405	718
770	2408	715
771	2411	712
772	2414	709
773	2417	705
774	2420	702
775	2423	699
776	2426	696
777	2429	693
778	2432	690
779	2435	686
780	2438	683
781	2441	680
782	2444	677
783	2447	674
784	2450	671
785	2452	667
786	2455	664
787	2458	661
788	2461	658
789	2464	655
790	2467	651
791	2469	648
792	2473	645
793	2476	642
794	2479	639
795	2482	636
796	2485	632
797	2488	629
798	2491	626
799	2494	623
800	2497	620
801	2500	617
802	2502	614
803	2505	610
804	2508	607
805	2511	604
806	2514	601
807	2517	598
808	2520	595
809	2523	591
810	2526	588
811	2529	585
812	2532	582
813	2536	579
814	2539	576
815	2542	573
816	2545	570
817	2549	567
818	2552	564
819	2556	561
820	2559	557
821	2562	554
822	2565	551
823	2569	548
824	2572	545
825	2576	542
826	2579	539
827	2582	536
828	2586	533
829	2589	530
830	2593	527
831	2597	524
832	2602	521
833	2605	518
834	2608	515
835	2611	512
836	2614	509
837	2617	506
838	2620	502
839	2624	499
840	2627	496
841	2631	493
842	2634	490
843	2637	487
844	2641	484
845	2645	481
846	2649	478
847	2653	475
848	2657	472
849	2661	469
850	2664	466
851	2668	463
852	2670	460
853	2673	457
854	2676	453
855	2679	450
856	2682	447
857	2685	444
858	2688	441
859	2691	438
860	2694	434
861	2696	431
862	2699	428
863	2702	425
864	2706	422
865	2709	419
866	2712	416
867	2715	412
868	2717	409
869	2721	406
870	2724	403
871	2727	400
872	2730	397
873	2733	394
874	2736	390
875	2739	387
876	2742	384
877	2745	381
878	2747	378
879	2750	375
880	2753	371
881	2756	368
882	2759	365
883	2763	362
884	2765	359
885	2768	356
886	2771	353
887	2774	349
888	2777	346
889	2780	343
890	2783	340
891	2785	337
892	2788	334
893	2792	331
894	2794	327
895	2799	324
896	2802	321
897	2805	318
898	2808	315
899	2811	312
900	2814	309
901	2817	306
902	2820	302
903	2823	299
904	2826	296
905	2829	293
906	2832	290
907	2836	287
908	2840	284
909	2844	281
910	2847	278
911	2850	275
912	2853	271
913	2856	268
914	2859	265
915	2862	262
916	2865	259
917	2868	256
918	2870	253
919	2873	249
920	2876	246
921	2879	243
922	2882	240
923	2885	237
924	2890	234
925	2893	231
926	2896	228
927	2898	224
928	2901	221
929	2904	218
930	2907	215
931	2910	212
932	2913	209
933	2916	206
934	2919	202
935	2923	199
936	2926	196
937	2929	193
938	2932	190
939	2935	187
940	2938	184
941	2941	181
942	2943	177
943	2946	174
944	2949	171
945	2952	168
946	2955	165
947	2959	162
948	2961	159
949	2964	156
950	2967	152
951	2970	149
952	2973	146
953	2975	143
954	2978	140
955	2981	137
956	2984	134
957	2987	130
958	2991	127
959	2993	124
960	2996	121
961	2999	118
962	3003	115
963	3006	112
964	3008	109
965	3012	106
966	3015	102
967	3018	99
968	3021	96
969	3024	93
970	3026	90
971	3029	87
972	3033	84
973	3036	81
974	3039	77
975	3042	74
976	3045	71
977	3048	68
978	3051	65
979	3054	62
980	3058	59
981	3061	56
982	3064	53
983	3067	49
984	3070	46
985	3073	43
986	3076	40
987	3079	37
988	3082	34
989	3085	31
990	3088	28
991	3091	24
992	3094	21
993	3097	18
994	3101	15
995	3104	12
996	3108	9
997	3111	6
998	3114	3
999	3117	0
