tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,8,7,169.332,1626.574,89.346,48.111706,11.444507,Hadern,20,2024,nearest,1392.6144607447955
tile_r0_c1,12,11,279.588,1601.214,53.599,48.114705,11.444507,Hadern,20,2024,nearest,1400.3337933497783
tile_r0_c10,99,82,8366.01,17122.346,385.967,48.141687,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c11,92,72,7793.693,17136.525,600.499,48.144684,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c12,48,41,3032.333,15903.528,291.986,48.147681,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c13,51,45,11450.617,12931.846,5696.768,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2024,exact,0.0
tile_r0_c14,8,6,660.939,1216.006,245.303,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2024,exact,0.0
tile_r0_c15,83,78,2031.995,9782.398,242.611,48.156671,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c16,81,74,4077.672,23225.039,353.745,48.159667,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c17,117,98,6507.199,18492.232,450.087,48.162663,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c18,7,4,1160.037,244.234,60.714,48.165659,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c19,2,2,0.0,300.561,0.0,48.168655,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c2,42,34,10931.099,11358.447,823.05,48.117704,11.444507,Hadern,20,2024,nearest,1450.62625325846
tile_r0_c20,2,2,0.0,533.645,0.0,48.17165,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c21,18,17,1779.95,2277.182,209.443,48.174646,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c22,25,19,5522.78,3175.388,949.744,48.177641,11.444507,Allach-Untermenzing,23,2024,exact,0.0
tile_r0_c23,148,127,6376.531,21233.121,559.568,48.180636,11.444507,Allach-Untermenzing,23,2024,exact,0.0
tile_r0_c24,132,99,7353.205,17037.009,869.009,48.183631,11.444507,Allach-Untermenzing,23,2024,exact,0.0
tile_r0_c25,52,47,633.043,5493.027,85.481,48.186625,11.444507,Allach-Untermenzing,23,2024,exact,0.0
tile_r0_c26,0,0,0.0,0.0,0.0,48.188242,11.444507,Allach-Untermenzing,23,2024,exact,0.0
tile_r0_c3,29,24,4538.93,5741.467,521.423,48.120702,11.444507,Pasing-Obermenzing,21,2024,nearest,1192.2595372340732
tile_r0_c4,44,40,2136.328,11353.579,163.188,48.123701,11.444507,Pasing-Obermenzing,21,2024,nearest,870.6027688186077
tile_r0_c5,74,61,2688.263,10361.802,350.158,48.126699,11.444507,Pasing-Obermenzing,21,2024,nearest,562.9644687131996
tile_r0_c6,0,0,0.0,0.0,0.0,48.129697,11.444507,Pasing-Obermenzing,21,2024,nearest,313.3117280951492
tile_r0_c7,1,0,40.385,0.0,8.502,48.132695,11.444507,Pasing-Obermenzing,21,2024,nearest,152.20417517343745
tile_r0_c8,147,136,3168.485,21167.439,447.479,48.135692,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r0_c9,116,99,5802.057,20825.529,351.584,48.13869,11.444507,Pasing-Obermenzing,21,2024,exact,0.0
tile_r10_c0,124,115,3073.044,20129.942,286.754,48.111706,11.489423,Hadern,20,2024,exact,0.0
tile_r10_c1,129,112,3650.051,18468.47,419.34,48.114705,11.489423,Hadern,20,2024,exact,0.0
tile_r10_c10,65,55,6261.687,23767.314,295.981,48.141687,11.489423,Laim,25,2024,exact,0.0
tile_r10_c11,40,33,7450.85,17594.616,495.44,48.144684,11.489423,Laim,25,2024,exact,0.0
tile_r10_c12,64,63,36.537,2522.137,11.152,48.147681,11.489423,Neuhausen-Nymphenburg,09,2024,exact,0.0
tile_r10_c13,0,0,0.0,0.0,0.0,48.150678,11.489423,Neuhausen-Nymphenburg,09,2024,exact,0.0
tile_r10_c14,1,1,0.0,31.963,0.0,48.153674,11.489423,Neuhausen-Nymphenburg,09,2024,exact,0.0
tile_r10_c15,1,1,0.0,21.872,0.0,48.156671,11.489423,Neuhausen-Nymphenburg,09,2024,exact,0.0
tile_r10_c16,0,0,0.0,0.0,0.0,48.159667,11.489423,Neuhausen-Nymphenburg,09,2024,exact,0.0
tile_r10_c17,17,13,461.224,4512.273,103.815,48.162663,11.489423,Neuhausen-Nymphenburg,09,2024,exact,0.0
tile_r10_c18,60,53,2576.353,14814.405,130.129,48.165659,11.489423,Pasing-Obermenzing,21,2024,exact,0.0
tile_r10_c19,39,32,1258.363,5520.161,464.848,48.168655,11.489423,Pasing-Obermenzing,21,2024,exact,0.0
tile_r10_c2,56,47,3436.349,23594.342,236.711,48.117704,11.489423,Hadern,20,2024,exact,0.0
tile_r10_c20,34,30,1754.514,3786.747,59.638,48.17165,11.489423,Pasing-Obermenzing,21,2024,exact,0.0
tile_r10_c21,47,40,2095.315,6811.267,229.181,48.174646,11.489423,Moosach,10,2024,exact,0.0
tile_r10_c22,90,80,2562.958,13580.992,190.646,48.177641,11.489423,Moosach,10,2024,exact,0.0
tile_r10_c23,120,108,4923.555,20557.788,504.189,48.180636,11.489423,Allach-Untermenzing,23,2024,exact,0.0
tile_r10_c24,119,104,3822.003,21136.293,441.239,48.183631,11.489423,Allach-Untermenzing,23,2024,exact,0.0
tile_r10_c25,119,108,1350.71,7626.782,206.805,48.186625,11.489423,Allach-Untermenzing,23,2024,exact,0.0
tile_r10_c26,0,0,0.0,0.0,0.0,48.188242,11.489423,Allach-Untermenzing,23,2024,exact,0.0
tile_r10_c3,21,19,7746.177,14732.263,30.622,48.120702,11.489423,Hadern,20,2024,exact,0.0
tile_r10_c4,37,29,16311.506,8110.451,427.379,48.123701,11.489423,Hadern,20,2024,exact,0.0
tile_r10_c5,103,83,7813.143,21261.295,1003.254,48.126699,11.489423,Hadern,20,2024,exact,0.0
