tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,7,6,181.557,1112.215,14.89,48.111706,11.444507,Hadern,20,2003,nearest,1392.6144607447955
tile_r0_c1,7,6,169.628,1965.542,116.028,48.114705,11.444507,Hadern,20,2003,nearest,1400.3337933497783
tile_r0_c10,93,90,1649.384,18185.457,37.29,48.141687,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c11,83,76,3070.819,21310.278,67.349,48.144684,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c12,39,38,136.804,11234.63,6.373,48.147681,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c13,25,21,7418.104,7610.851,8.602,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2003,exact,0.0
tile_r0_c14,5,5,0.0,1171.825,0.0,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2003,exact,0.0
tile_r0_c15,75,73,998.797,10972.738,36.312,48.156671,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c16,67,63,3042.449,20831.351,37.688,48.159667,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c17,98,93,4070.458,20853.474,86.408,48.162663,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c18,5,5,0.0,927.691,0.0,48.165659,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c19,2,1,192.415,147.52,1.167,48.168655,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c2,47,43,1892.821,14890.554,393.768,48.117704,11.444507,Hadern,20,2003,nearest,1450.62625325846
tile_r0_c20,0,0,0.0,0.0,0.0,48.17165,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c21,20,18,1356.394,2121.322,1055.28,48.174646,11.444507,Pasing-Obermenzing,21,2003,exact,0.0
tile_r0_c22,14,14,0.0,2470.401,0.0,48.177641,11.444507,Allach-Untermenzing,23,2003,exact,0.0
tile_r0_c23,130,128,1822.431,21999.434,7.425,48.180636,11.444507,Allach-Untermenzing,23,2003,exact,0.0
tile_r0_c24,134,127,2236.754,21789.218,101.613,48.183631,11.444507,Allach-Untermenzing,23,2003,exact,0.0
tile_r0_c25,41,38,389.428,5179.859,40.725,48.186625,11.444507,Allach-Untermenzing,23,2003,exact,0.0
