tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,7,6,161.348,1164.654,13.295,48.111706,11.444507,Hadern,20,2020,nearest,1392.6144607447955
tile_r0_c1,15,13,124.641,2983.845,35.308,48.114705,11.444507,Hadern,20,2020,nearest,1400.3337933497783
tile_r0_c10,95,82,3267.489,21527.875,179.331,48.141687,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c11,100,87,4873.277,19981.849,401.217,48.144684,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c12,49,44,1963.926,16952.715,97.93,48.147681,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c13,54,49,11266.447,12510.031,5622.534,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2020,exact,0.0
tile_r0_c14,15,12,264.526,2036.445,55.008,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2020,exact,0.0
tile_r0_c15,91,85,1543.064,10189.256,83.136,48.156671,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c16,82,77,2237.666,27024.744,335.591,48.159667,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c17,123,106,4978.911,20719.74,280.88,48.162663,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c18,11,11,0.0,1519.648,0.0,48.165659,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c19,3,3,0.0,549.859,0.0,48.168655,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c2,41,32,12941.74,9260.082,599.312,48.117704,11.444507,Hadern,20,2020,nearest,1450.62625325846
tile_r0_c20,2,2,0.0,362.589,0.0,48.17165,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c21,14,13,1967.326,2181.059,128.17,48.174646,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c22,25,22,5311.347,4160.449,505.534,48.177641,11.444507,Allach-Untermenzing,23,2020,exact,0.0
tile_r0_c23,155,141,4430.716,25246.515,417.53,48.180636,11.444507,Allach-Untermenzing,23,2020,exact,0.0
tile_r0_c24,140,127,3119.616,22038.105,279.803,48.183631,11.444507,Allach-Untermenzing,23,2020,exact,0.0
tile_r0_c25,55,52,345.101,6158.628,60.239,48.186625,11.444507,Allach-Untermenzing,23,2020,exact,0.0
tile_r0_c26,0,0,0.0,0.0,0.0,48.188242,11.444507,Allach-Untermenzing,23,2020,exact,0.0
tile_r0_c3,29,24,3014.344,6176.963,499.414,48.120702,11.444507,Pasing-Obermenzing,21,2020,nearest,1192.2595372340732
tile_r0_c4,47,44,1693.113,11760.646,124.172,48.123701,11.444507,Pasing-Obermenzing,21,2020,nearest,870.6027688186077
tile_r0_c5,86,79,1488.648,11679.303,181.881,48.126699,11.444507,Pasing-Obermenzing,21,2020,nearest,562.9644687131996
tile_r0_c6,0,0,0.0,0.0,0.0,48.129697,11.444507,Pasing-Obermenzing,21,2020,nearest,313.3117280951492
tile_r0_c7,2,0,137.629,0.0,27.207,48.132695,11.444507,Pasing-Obermenzing,21,2020,nearest,152.20417517343745
tile_r0_c8,162,159,541.524,23800.044,81.611,48.135692,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r0_c9,126,118,2957.043,24688.21,126.545,48.13869,11.444507,Pasing-Obermenzing,21,2020,exact,0.0
tile_r10_c0,125,117,2077.167,21540.647,207.088,48.111706,11.489423,Hadern,20,2020,exact,0.0
tile_r10_c1,130,124,1170.284,20848.589,156.229,48.114705,11.489423,Hadern,20,2020,exact,0.0
