tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,7,6,157.732,1765.173,102.425,48.111706,11.444507,Hadern,20,2018,nearest,1392.6144607447955
tile_r0_c1,9,8,357.009,2861.653,26.162,48.114705,11.444507,Hadern,20,2018,nearest,1400.3337933497783
tile_r0_c10,85,73,8793.096,18310.524,236.595,48.141687,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c11,95,81,5335.574,19436.06,501.601,48.144684,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c12,49,43,5064.884,15353.844,105.472,48.147681,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c13,55,50,9797.392,12770.96,5572.935,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2018,exact,0.0
tile_r0_c14,10,8,868.654,1499.115,72.211,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2018,exact,0.0
tile_r0_c15,93,86,2971.558,10484.123,71.563,48.156671,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c16,77,72,5999.406,24256.932,387.822,48.159667,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c17,120,101,5219.446,21438.399,280.667,48.162663,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c18,8,7,673.902,806.474,1.486,48.165659,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c19,2,1,191.778,163.44,56.992,48.168655,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c2,38,31,11212.167,11796.546,1120.687,48.117704,11.444507,Hadern,20,2018,nearest,1450.62625325846
tile_r0_c20,2,2,0.0,526.329,0.0,48.17165,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c21,16,14,1936.562,2412.885,950.876,48.174646,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c22,28,24,4407.116,4364.574,587.331,48.177641,11.444507,Allach-Untermenzing,23,2018,exact,0.0
tile_r0_c23,137,122,4960.058,24416.024,432.382,48.180636,11.444507,Allach-Untermenzing,23,2018,exact,0.0
tile_r0_c24,136,121,4286.243,23079.352,340.473,48.183631,11.444507,Allach-Untermenzing,23,2018,exact,0.0
tile_r0_c25,47,43,932.753,5888.714,49.315,48.186625,11.444507,Allach-Untermenzing,23,2018,exact,0.0
tile_r0_c26,0,0,0.0,0.0,0.0,48.188242,11.444507,Allach-Untermenzing,23,2018,exact,0.0
tile_r0_c3,24,22,1201.066,6090.091,542.479,48.120702,11.444507,Pasing-Obermenzing,21,2018,nearest,1192.2595372340732
tile_r0_c4,50,46,1845.671,12744.371,176.158,48.123701,11.444507,Pasing-Obermenzing,21,2018,nearest,870.6027688186077
tile_r0_c5,76,72,914.191,12900.064,90.037,48.126699,11.444507,Pasing-Obermenzing,21,2018,nearest,562.9644687131996
tile_r0_c6,0,0,0.0,0.0,0.0,48.129697,11.444507,Pasing-Obermenzing,21,2018,nearest,313.3117280951492
tile_r0_c7,2,1,72.906,80.45,5.42,48.132695,11.444507,Pasing-Obermenzing,21,2018,nearest,152.20417517343745
tile_r0_c8,140,131,2185.289,24018.43,101.694,48.135692,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r0_c9,111,103,3596.695,25090.052,125.27,48.13869,11.444507,Pasing-Obermenzing,21,2018,exact,0.0
tile_r10_c0,122,116,1670.539,24341.811,104.13,48.111706,11.489423,Hadern,20,2018,exact,0.0
tile_r10_c1,120,106,3765.014,20671.426,244.819,48.114705,11.489423,Hadern,20,2018,exact,0.0
tile_r10_c10,72,64,3481.637,30864.314,146.609,48.141687,11.489423,Laim,25,2018,exact,0.0
tile_r10_c11,36,32,4167.191,20384.256,109.096,48.144684,11.489423,Laim,25,2018,exact,0.0
tile_r10_c12,70,70,0.0,3342.632,0.0,48.147681,11.489423,Neuhausen-Nymphenburg,09,2018,exact,0.0
tile_r10_c13,1,1,0.0,56.289,0.0,48.150678,11.489423,Neuhausen-Nymphenburg,09,2018,exact,0.0
tile_r10_c14,1,1,0.0,35.679,0.0,48.153674,11.489423,Neuhausen-Nymphenburg,09,2018,exact,0.0
tile_r10_c15,0,0,0.0,0.0,0.0,48.156671,11.489423,Neuhausen-Nymphenburg,09,2018,exact,0.0
tile_r10_c16,1,1,0.0,24.843,0.0,48.159667,11.489423,Neuhausen-Nymphenburg,09,2018,exact,0.0
tile_r10_c17,19,17,805.27,4416.41,86.408,48.162663,11.489423,Neuhausen-Nymphenburg,09,2018,exact,0.0
tile_r10_c18,55,50,2875.035,14564.67,71.432,48.165659,11.489423,Pasing-Obermenzing,21,2018,exact,0.0
tile_r10_c19,40,34,2400.007,5400.221,900.512,48.168655,11.489423,Pasing-Obermenzing,21,2018,exact,0.0
tile_r10_c2,64,59,2576.693,25480.05,198.959,48.117704,11.489423,Hadern,20,2018,exact,0.0
tile_r10_c20,37,33,593.83,5811.752,45.524,48.17165,11.489423,Pasing-Obermenzing,21,2018,exact,0.0
tile_r10_c21,51,47,1818.482,7397.915,150.455,48.174646,11.489423,Moosach,10,2018,exact,0.0
tile_r10_c22,94,88,1733.938,16282.09,108.425,48.177641,11.489423,Moosach,10,2018,exact,0.0
