tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,10,10,0.0,1780.8,0.0,48.111706,11.444507,Hadern,20,2022,nearest,1392.6144607447955
tile_r0_c1,14,13,79.016,3650.542,24.566,48.114705,11.444507,Hadern,20,2022,nearest,1400.3337933497783
tile_r0_c10,99,82,4374.418,20676.017,280.897,48.141687,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c11,97,77,6408.609,18789.087,550.678,48.144684,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c12,50,45,1594.824,17964.301,147.427,48.147681,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c13,60,53,9831.916,15115.648,5746.789,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2022,exact,0.0
tile_r0_c14,13,10,774.778,1351.187,74.441,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2022,exact,0.0
tile_r0_c15,87,83,1405.15,11327.466,75.386,48.156671,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c16,80,73,2175.973,26287.981,350.03,48.159667,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c17,113,92,8739.926,16770.2,457.836,48.162663,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c18,11,10,233.834,1291.121,6.793,48.165659,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c19,5,5,0.0,543.703,0.0,48.168655,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c2,39,31,7486.62,14659.158,533.597,48.117704,11.444507,Hadern,20,2022,nearest,1450.62625325846
tile_r0_c20,3,2,367.257,203.846,4.351,48.17165,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c21,19,16,2515.584,1841.199,252.523,48.174646,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c22,26,23,3695.871,5008.652,450.259,48.177641,11.444507,Allach-Untermenzing,23,2022,exact,0.0
tile_r0_c23,134,113,8813.295,21369.737,736.404,48.180636,11.444507,Allach-Untermenzing,23,2022,exact,0.0
tile_r0_c24,139,118,5506.441,21145.11,615.611,48.183631,11.444507,Allach-Untermenzing,23,2022,exact,0.0
tile_r0_c25,50,45,964.252,5792.104,78.799,48.186625,11.444507,Allach-Untermenzing,23,2022,exact,0.0
tile_r0_c26,0,0,0.0,0.0,0.0,48.188242,11.444507,Allach-Untermenzing,23,2022,exact,0.0
tile_r0_c3,26,21,4135.334,6538.245,194.792,48.120702,11.444507,Pasing-Obermenzing,21,2022,nearest,1192.2595372340732
tile_r0_c4,47,43,1890.959,11710.783,175.52,48.123701,11.444507,Pasing-Obermenzing,21,2022,nearest,870.6027688186077
tile_r0_c5,73,62,3308.433,10256.123,287.546,48.126699,11.444507,Pasing-Obermenzing,21,2022,nearest,562.9644687131996
tile_r0_c6,0,0,0.0,0.0,0.0,48.129697,11.444507,Pasing-Obermenzing,21,2022,nearest,313.3117280951492
tile_r0_c7,1,0,97.669,0.0,4.57,48.132695,11.444507,Pasing-Obermenzing,21,2022,nearest,152.20417517343745
tile_r0_c8,140,127,2677.95,22117.886,426.967,48.135692,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r0_c9,116,100,6027.735,21512.864,266.371,48.13869,11.444507,Pasing-Obermenzing,21,2022,exact,0.0
tile_r10_c0,124,116,3611.551,20880.987,226.448,48.111706,11.489423,Hadern,20,2022,exact,0.0
tile_r10_c1,129,116,3109.038,19417.209,253.219,48.114705,11.489423,Hadern,20,2022,exact,0.0
tile_r10_c10,73,62,5185.069,24966.417,292.794,48.141687,11.489423,Laim,25,2022,exact,0.0
tile_r10_c11,45,42,7055.584,18658.803,130.341,48.144684,11.489423,Laim,25,2022,exact,0.0
tile_r10_c12,62,61,30.696,2506.525,30.165,48.147681,11.489423,Neuhausen-Nymphenburg,09,2022,exact,0.0
tile_r10_c13,0,0,0.0,0.0,0.0,48.150678,11.489423,Neuhausen-Nymphenburg,09,2022,exact,0.0
tile_r10_c14,2,2,0.0,112.667,0.0,48.153674,11.489423,Neuhausen-Nymphenburg,09,2022,exact,0.0
tile_r10_c15,1,1,0.0,105.755,0.0,48.156671,11.489423,Neuhausen-Nymphenburg,09,2022,exact,0.0
tile_r10_c16,0,0,0.0,0.0,0.0,48.159667,11.489423,Neuhausen-Nymphenburg,09,2022,exact,0.0
tile_r10_c17,22,18,1663.708,4054.329,175.468,48.162663,11.489423,Neuhausen-Nymphenburg,09,2022,exact,0.0
tile_r10_c18,66,61,1184.107,16735.232,94.784,48.165659,11.489423,Pasing-Obermenzing,21,2022,exact,0.0
tile_r10_c19,46,39,3281.394,6561.588,764.346,48.168655,11.489423,Pasing-Obermenzing,21,2022,exact,0.0
tile_r10_c2,59,52,3260.578,24877.758,172.695,48.117704,11.489423,Hadern,20,2022,exact,0.0
tile_r10_c20,38,29,2214.412,5016.769,84.044,48.17165,11.489423,Pasing-Obermenzing,21,2022,exact,0.0
tile_r10_c21,52,48,1845.436,7744.878,70.559,48.174646,11.489423,Moosach,10,2022,exact,0.0
tile_r10_c22,97,88,2212.636,14051.09,249.102,48.177641,11.489423,Moosach,10,2022,exact,0.0
tile_r10_c23,114,103,4316.142,21585.388,315.264,48.180636,11.489423,Allach-Untermenzing,23,2022,exact,0.0
tile_r10_c24,123,110,4085.789,21906.96,412.284,48.183631,11.489423,Allach-Untermenzing,23,2022,exact,0.0
tile_r10_c25,136,124,1584.992,8657.728,248.273,48.186625,11.489423,Allach-Untermenzing,23,2022,exact,0.0
tile_r10_c26,0,0,0.0,0.0,0.0,48.188242,11.489423,Allach-Untermenzing,23,2022,exact,0.0
tile_r10_c3,24,18,16443.801,6398.598,91.44,48.120702,11.489423,Hadern,20,2022,exact,0.0
tile_r10_c4,35,29,18355.33,6349.329,404.416,48.123701,11.489423,Hadern,20,2022,exact,0.0
tile_r10_c5,108,87,8053.226,22043.199,726.987,48.126699,11.489423,Hadern,20,2022,exact,0.0
tile_r10_c6,103,93,2538.593,22721.339,235.854,48.129697,11.489423,Hadern,20,2022,exact,0.0
tile_r10_c7,133,123,2379.929,21733.104,202.348,48.132695,11.489423,Laim,25,2022,exact,0.0
tile_r10_c8,115,104,4025.066,25855.069,214.441,48.135692,11.489423,Laim,25,2022,exact,0.0
tile_r10_c9,127,111,4005.984,24386.56,475.368,48.13869,11.489423,Laim,25,2022,exact,0.0
tile_r11_c0,85,76,1654.469,13463.286,125.508,48.111706,11.493914,Hadern,20,2022,exact,0.0
tile_r11_c1,113,100,2759.039,24020.374,257.686,48.114705,11.493914,Hadern,20,2022,exact,0.0
