tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,7,7,0.0,1540.105,0.0,48.111706,11.444507,Hadern,20,2006,nearest,1392.6144607447955
tile_r0_c1,8,6,627.685,1092.96,3.616,48.114705,11.444507,Hadern,20,2006,nearest,1400.3337933497783
tile_r0_c10,91,86,2443.603,17970.13,155.108,48.141687,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c11,89,84,3303.344,19571.671,227.859,48.144684,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c12,43,41,1111.942,11102.587,94.317,48.147681,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c13,44,41,5564.941,13207.016,72.111,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2006,exact,0.0
tile_r0_c14,6,5,56.813,1303.081,8.708,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2006,exact,0.0
tile_r0_c15,67,62,1496.658,9503.033,39.179,48.156671,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c16,65,52,4176.778,18324.159,218.49,48.159667,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c17,111,102,1849.501,21885.233,123.668,48.162663,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c18,5,5,0.0,1000.61,0.0,48.165659,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c19,2,1,208.547,165.881,1.167,48.168655,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c2,37,31,4012.57,15917.455,317.312,48.117704,11.444507,Hadern,20,2006,nearest,1450.62625325846
tile_r0_c20,0,0,0.0,0.0,0.0,48.17165,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c21,7,5,1982.815,763.732,1226.845,48.174646,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c22,21,17,1063.675,4119.202,251.76,48.177641,11.444507,Allach-Untermenzing,23,2006,exact,0.0
tile_r0_c23,136,127,2183.936,23646.126,57.388,48.180636,11.444507,Allach-Untermenzing,23,2006,exact,0.0
tile_r0_c24,107,96,3405.503,18699.827,122.613,48.183631,11.444507,Allach-Untermenzing,23,2006,exact,0.0
tile_r0_c25,39,37,320.921,5043.038,33.407,48.186625,11.444507,Allach-Untermenzing,23,2006,exact,0.0
tile_r0_c26,0,0,0.0,0.0,0.0,48.188242,11.444507,Allach-Untermenzing,23,2006,exact,0.0
tile_r0_c3,22,17,1450.167,5958.91,97.076,48.120702,11.444507,Pasing-Obermenzing,21,2006,nearest,1192.2595372340732
tile_r0_c4,37,32,2205.452,10896.833,222.831,48.123701,11.444507,Pasing-Obermenzing,21,2006,nearest,870.6027688186077
tile_r0_c5,62,60,1216.946,9746.725,52.726,48.126699,11.444507,Pasing-Obermenzing,21,2006,nearest,562.9644687131996
tile_r0_c6,0,0,0.0,0.0,0.0,48.129697,11.444507,Pasing-Obermenzing,21,2006,nearest,313.3117280951492
tile_r0_c7,2,2,0.0,161.646,0.0,48.132695,11.444507,Pasing-Obermenzing,21,2006,nearest,152.20417517343745
tile_r0_c8,128,125,725.043,19952.977,17.534,48.135692,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r0_c9,115,111,2279.475,23809.946,22.844,48.13869,11.444507,Pasing-Obermenzing,21,2006,exact,0.0
tile_r10_c0,123,116,1516.111,19435.516,117.532,48.111706,11.489423,Hadern,20,2006,exact,0.0
tile_r10_c1,125,120,950.663,17863.874,47.326,48.114705,11.489423,Hadern,20,2006,exact,0.0
tile_r10_c10,72,63,9171.741,20876.163,337.416,48.141687,11.489423,Laim,25,2006,exact,0.0
tile_r10_c11,42,36,9822.79,16163.15,127.474,48.144684,11.489423,Laim,25,2006,exact,0.0
tile_r10_c12,59,59,0.0,2497.283,0.0,48.147681,11.489423,Neuhausen-Nymphenburg,09,2006,exact,0.0
tile_r10_c13,0,0,0.0,0.0,0.0,48.150678,11.489423,Neuhausen-Nymphenburg,09,2006,exact,0.0
tile_r10_c14,0,0,0.0,0.0,0.0,48.153674,11.489423,Neuhausen-Nymphenburg,09,2006,exact,0.0
tile_r10_c15,0,0,0.0,0.0,0.0,48.156671,11.489423,Neuhausen-Nymphenburg,09,2006,exact,0.0
tile_r10_c16,0,0,0.0,0.0,0.0,48.159667,11.489423,Neuhausen-Nymphenburg,09,2006,exact,0.0
