tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,7,6,158.59,1535.097,1.17,48.111706,11.444507,Hadern,20,2009,nearest,1392.6144607447955
tile_r0_c1,7,6,320.957,1530.599,22.333,48.114705,11.444507,Hadern,20,2009,nearest,1400.3337933497783
tile_r0_c10,100,92,2466.45,21616.147,147.672,48.141687,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c11,92,80,4581.772,17980.195,437.761,48.144684,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c12,43,40,1347.533,11580.77,125.118,48.147681,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c13,53,47,7543.458,9690.44,232.047,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2009,exact,0.0
tile_r0_c14,11,8,590.537,1098.654,67.008,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2009,exact,0.0
tile_r0_c15,84,81,1437.617,10423.823,42.682,48.156671,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c16,77,70,5636.699,24115.861,108.288,48.159667,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c17,123,103,4897.05,18538.224,264.639,48.162663,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c18,7,6,215.046,960.061,1.592,48.165659,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c19,2,0,346.197,0.0,90.848,48.168655,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c2,42,31,12101.805,7246.663,1150.051,48.117704,11.444507,Hadern,20,2009,nearest,1450.62625325846
tile_r0_c20,0,0,0.0,0.0,0.0,48.17165,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c21,15,13,2987.063,860.817,1476.182,48.174646,11.444507,Pasing-Obermenzing,21,2009,exact,0.0
tile_r0_c22,28,22,1348.314,4156.329,489.09,48.177641,11.444507,Allach-Untermenzing,23,2009,exact,0.0
tile_r0_c23,158,148,2025.691,23016.214,181.608,48.180636,11.444507,Allach-Untermenzing,23,2009,exact,0.0
tile_r0_c24,152,139,2580.085,20019.291,141.494,48.183631,11.444507,Allach-Untermenzing,23,2009,exact,0.0
tile_r0_c25,47,42,738.026,5137.013,68.193,48.186625,11.444507,Allach-Untermenzing,23,2009,exact,0.0
tile_r0_c26,0,0,0.0,0.0,0.0,48.188242,11.444507,Allach-Untermenzing,23,2009,exact,0.0
tile_r0_c3,28,25,1601.365,6336.265,521.316,48.120702,11.444507,Pasing-Obermenzing,21,2009,nearest,1192.2595372340732
tile_r0_c4,42,36,2655.164,11207.161,224.003,48.123701,11.444507,Pasing-Obermenzing,21,2009,nearest,870.6027688186077
